0	0.0000	0.0000	0.0012
1	0.0698	0.0524	0.0518
2	0.1396	0.1048	0.1048
3	0.2094	0.1573	0.1579
4	0.2792	0.2097	0.2085
5	0.3490	0.2622	0.2628
6	0.4188	0.3146	0.3146
7	0.4885	0.3671	0.3665
8	0.5582	0.4196	0.4207
9	0.6279	0.4720	0.4714
10	0.6976	0.5245	0.5246
11	0.7672	0.5770	0.5776
12	0.8368	0.6295	0.6283
13	0.9063	0.6820	0.6826
14	0.9758	0.7345	0.7344
15	1.0453	0.7869	0.7864
16	1.1147	0.8394	0.8405
17	1.1840	0.8919	0.8912
18	1.2533	0.9443	0.9444
19	1.3226	0.9968	0.9972
20	1.3917	1.0492	1.0481
21	1.4608	1.1016	1.1023
22	1.5299	1.1540	1.1538
23	1.5988	1.2064	1.2059
24	1.6677	1.2587	1.2598
25	1.7365	1.3111	1.3103
26	1.8052	1.3634	1.3636
27	1.8738	1.4157	1.4161
28	1.9423	1.4680	1.4670
29	2.0108	1.5203	1.5211
30	2.0791	1.5725	1.5722
31	2.1474	1.6247	1.6244
32	2.2155	1.6768	1.6777
33	2.2835	1.7290	1.7280
34	2.3514	1.7811	1.7814
35	2.4192	1.8331	1.8334
36	2.4869	1.8852	1.8844
37	2.5545	1.9372	1.9382
38	2.6219	1.9891	1.9887
39	2.6892	2.0410	2.0409
40	2.7564	2.0929	2.0936
41	2.8234	2.1448	2.1436
42	2.8903	2.1965	2.1971
43	2.9571	2.2483	2.2483
44	3.0237	2.3000	2.2993
45	3.0902	2.3516	2.3528
46	3.1565	2.4032	2.4026
47	3.2227	2.4547	2.4548
48	3.2887	2.5062	2.5067
49	3.3545	2.5576	2.5566
50	3.4202	2.6090	2.6098
51	3.4857	2.6603	2.6601
52	3.5511	2.7116	2.7112
53	3.6162	2.7628	2.7637
54	3.6812	2.8139	2.8130
55	3.7461	2.8649	2.8652
56	3.8107	2.9159	2.9162
57	3.8752	2.9669	2.9660
58	3.9394	3.0177	3.0187
59	4.0035	3.0685	3.0681
60	4.0674	3.1192	3.1191
61	4.1310	3.1699	3.1706
62	4.1945	3.2204	3.2193
63	4.2578	3.2709	3.2715
64	4.3209	3.3213	3.3213
65	4.3837	3.3717	3.3711
66	4.4463	3.4219	3.4231
67	4.5088	3.4721	3.4714
68	4.5710	3.5221	3.5223
69	4.6330	3.5721	3.5726
70	4.6947	3.6221	3.6211
71	4.7562	3.6719	3.6727
72	4.8175	3.7216	3.7213
73	4.8786	3.7712	3.7709
74	4.9394	3.8208	3.8216
75	5.0000	3.8702	3.8692
76	5.0603	3.9196	3.9200
77	5.1204	3.9688	3.9689
78	5.1803	4.0180	4.0173
79	5.2399	4.0670	4.0682
80	5.2992	4.1159	4.1153
81	5.3583	4.1648	4.1649
82	5.4171	4.2135	4.2140
83	5.4756	4.2622	4.2611
84	5.5339	4.3107	4.3115
85	5.5919	4.3591	4.3588
86	5.6497	4.4074	4.4071
87	5.7071	4.4556	4.4564
88	5.7643	4.5036	4.5026
89	5.8212	4.5516	4.5520
90	5.8778	4.5994	4.5995
91	5.9342	4.6471	4.6465
92	5.9902	4.6948	4.6960
93	6.0460	4.7422	4.7415
94	6.1014	4.7895	4.7897
95	6.1566	4.8368	4.8372
96	6.2115	4.8839	4.8829
97	6.2660	4.9308	4.9317
98	6.3203	4.9777	4.9774
99	6.3742	5.0244	5.0241
100	6.4279	5.0710	5.0717
101	6.4812	5.1174	5.1163
102	6.5342	5.1637	5.1642
103	6.5869	5.2099	5.2099
104	6.6393	5.2559	5.2553
105	6.6913	5.3018	5.3029
106	6.7430	5.3475	5.3468
107	6.7944	5.3931	5.3933
108	6.8455	5.4386	5.4389
109	6.8962	5.4839	5.4830
110	6.9466	5.5291	5.5301
111	6.9966	5.5741	5.5736
112	7.0463	5.6189	5.6189
113	7.0957	5.6637	5.6643
114	7.1447	5.7082	5.7071
115	7.1934	5.7526	5.7533
116	7.2417	5.7969	5.7967
117	7.2897	5.8410	5.8406
118	7.3373	5.8849	5.8858
119	7.3845	5.9287	5.9277
120	7.4314	5.9723	5.9727
121	7.4780	6.0157	6.0158
122	7.5241	6.0590	6.0584
123	7.5699	6.1021	6.1033
124	7.6154	6.1451	6.1444
125	7.6604	6.1878	6.1880
126	7.7051	6.2304	6.2308
127	7.7494	6.2729	6.2720
128	7.7934	6.3151	6.3161
129	7.8369	6.3572	6.3568
130	7.8801	6.3991	6.3990
131	7.9229	6.4409	6.4415
132	7.9653	6.4824	6.4813
133	8.0073	6.5238	6.5245
134	8.0489	6.5650	6.5648
135	8.0902	6.6060	6.6056
136	8.1310	6.6468	6.6477
137	8.1714	6.6875	6.6864
138	8.2115	6.7279	6.7284
139	8.2511	6.7681	6.7682
140	8.2904	6.8082	6.8077
141	8.3292	6.8481	6.8492
142	8.3676	6.8878	6.8870
143	8.4057	6.9273	6.9275
144	8.4433	6.9666	6.9668
145	8.4805	7.0057	7.0049
146	8.5173	7.0446	7.0457
147	8.5536	7.0833	7.0827
148	8.5896	7.1218	7.1218
149	8.6251	7.1601	7.1605
150	8.6602	7.1982	7.1972
151	8.6949	7.2361	7.2370
152	8.7292	7.2737	7.2733
153	8.7631	7.3112	7.3111
154	8.7965	7.3485	7.3491
155	8.8295	7.3856	7.3844
156	8.8620	7.4224	7.4231
157	8.8942	7.4590	7.4588
158	8.9259	7.4954	7.4951
159	8.9571	7.5316	7.5324
160	8.9879	7.5676	7.5665
161	9.0183	7.6034	7.6039
162	9.0483	7.6389	7.6389
163	9.0778	7.6742	7.6738
