0	0.0000	0.0000
1	0.0698	0.0524
2	0.1396	0.1048
3	0.2094	0.1573
4	0.2792	0.2097
5	0.3490	0.2622
6	0.4188	0.3146
7	0.4885	0.3671
8	0.5582	0.4196
9	0.6279	0.4720
10	0.6976	0.5245
11	0.7672	0.5770
12	0.8368	0.6295
13	0.9063	0.6820
14	0.9758	0.7345
15	1.0453	0.7869
16	1.1147	0.8394
17	1.1840	0.8919
18	1.2533	0.9443
19	1.3226	0.9968
20	1.3917	1.0492
21	1.4608	1.1016
22	1.5299	1.1540
23	1.5988	1.2064
24	1.6677	1.2587
25	1.7365	1.3111
26	1.8052	1.3634
27	1.8738	1.4157
28	1.9423	1.4680
29	2.0108	1.5203
30	2.0791	1.5725
31	2.1474	1.6247
32	2.2155	1.6768
33	2.2835	1.7290
34	2.3514	1.7811
35	2.4192	1.8331
36	2.4869	1.8852
37	2.5545	1.9372
38	2.6219	1.9891
39	2.6892	2.0410
40	2.7564	2.0929
41	2.8234	2.1448
42	2.8903	2.1965
43	2.9571	2.2483
44	3.0237	2.3000
45	3.0902	2.3516
46	3.1565	2.4032
47	3.2227	2.4547
48	3.2887	2.5062
49	3.3545	2.5576
50	3.4202	2.6090
51	3.4857	2.6603
52	3.5511	2.7116
53	3.6162	2.7628
54	3.6812	2.8139
55	3.7461	2.8649
56	3.8107	2.9159
57	3.8752	2.9669
58	3.9394	3.0177
59	4.0035	3.0685
60	4.0674	3.1192
61	4.1310	3.1699
62	4.1945	3.2204
63	4.2578	3.2709
64	4.3209	3.3213
65	4.3837	3.3717
66	4.4463	3.4219
67	4.5088	3.4721
68	4.5710	3.5221
69	4.6330	3.5721
70	4.6947	3.6221
71	4.7562	3.6719
72	4.8175	3.7216
73	4.8786	3.7712
74	4.9394	3.8208
75	5.0000	3.8702
76	5.0603	3.9196
77	5.1204	3.9688
78	5.1803	4.0180
79	5.2399	4.0670
80	5.2992	4.1159
81	5.3583	4.1648
82	5.4171	4.2135
83	5.4756	4.2622
84	5.5339	4.3107
85	5.5919	4.3591
86	5.6497	4.4074
87	5.7071	4.4556
88	5.7643	4.5036
89	5.8212	4.5516
90	5.8778	4.5994
91	5.9342	4.6471
92	5.9902	4.6948
93	6.0460	4.7422
94	6.1014	4.7895
95	6.1566	4.8368
96	6.2115	4.8839
97	6.2660	4.9308
98	6.3203	4.9777
99	6.3742	5.0244
100	6.4279	5.0710
101	6.4812	5.1174
102	6.5342	5.1637
103	6.5869	5.2099
